"","nome_jogo","nota_jogo","link_jogo","ano_jogo","genero_jogo","link_avaliacao","avaliacao_jogo","diretor_jogo"
"672","Sir, You Are Being Hunted","5.5","https://www.imdb.com/title/tt5975030/?ref_=adv_li_tt",2014,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt5975030/ratings/?ref_=tt_ov_rt","0|0|1|1|3|3|1|1|0|0","Jim Rossignol
"
"673","Misao","7.1","https://www.imdb.com/title/tt10563334/?ref_=adv_li_tt",2011,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt10563334/ratings/?ref_=tt_ov_rt","2|1|8|7|4|1|0|1|0|0","Sen
"
"674","The Last Stand 2","8.4","https://www.imdb.com/title/tt5460264/?ref_=adv_li_tt",2008,"
Action, Adventure, Horror","https://www.imdb.com/title/tt5460264/ratings/?ref_=tt_ov_rt","3|1|1|2|2|0|0|0|0|0","Chris Condon
"
"675","Rudora no hihou","8.1","https://www.imdb.com/title/tt0206256/?ref_=adv_li_tt",1996,"
Drama, Horror, Adventure","https://www.imdb.com/title/tt0206256/ratings/?ref_=tt_ov_rt","8|2|6|3|2|1|1|1|0|6","Kouze Ide
| Akitoshi Kawazu
"
"676","Red Bow",NA,"https://www.imdb.com/title/tt12320322/?ref_=adv_li_tt",2020,"
Action, Adventure, Horror","https://www.imdb.com/title/tt12320322/ratings/?ref_=tt_ov_rt",NA,"Stranga
"
"677","The Dream of Shadowlands: Episode 2",NA,"https://www.imdb.com/title/tt21833806/?ref_=adv_li_tt",2022,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt21833806/ratings/?ref_=tt_ov_rt",NA,"Catalina Zavaleta
"
"678","They Bleed Pixels",NA,"https://www.imdb.com/title/tt14583394/?ref_=adv_li_tt",2012,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt14583394/ratings/?ref_=tt_ov_rt",NA,"Andrij Pilkiw
| Miguel Sternberg
"
"679","Dark Souls II: Crown of the Old Iron King","7.7","https://www.imdb.com/title/tt12708798/?ref_=adv_li_tt",2014,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt12708798/ratings/?ref_=tt_ov_rt","17|15|29|18|6|2|2|1|1|4","Yui Tanimura
"
"680","Yuurei ressha",NA,"https://www.imdb.com/title/tt14636882/?ref_=adv_li_tt",2020,"
Adventure, Horror","https://www.imdb.com/title/tt14636882/ratings/?ref_=tt_ov_rt",NA,NA
"681","Iron Meat",NA,"https://www.imdb.com/title/tt14727338/?ref_=adv_li_tt",2020,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt14727338/ratings/?ref_=tt_ov_rt",NA,"Ivan Valeryevich Suvorov
"
"682","Myth II: Soulblighter","8.5","https://www.imdb.com/title/tt4500244/?ref_=adv_li_tt",1998,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt4500244/ratings/?ref_=tt_ov_rt","17|9|12|3|0|1|1|1|0|2",NA
"683","Koukai sarena katta shuki",NA,"https://www.imdb.com/title/tt12675956/?ref_=adv_li_tt",1997,"
Action, Adventure, Horror","https://www.imdb.com/title/tt12675956/ratings/?ref_=tt_ov_rt",NA,"Hidekazu Funakoshi
"
"684","Teleglitch","6.2","https://www.imdb.com/title/tt4200516/?ref_=adv_li_tt",2013,"
Action, Adventure, Horror","https://www.imdb.com/title/tt4200516/ratings/?ref_=tt_ov_rt","0|0|2|0|1|1|1|0|0|0","Johann Tael
| Mihkel Tael
"
"685","Shadow Man: 2econd Coming","6.5","https://www.imdb.com/title/tt0294906/?ref_=adv_li_tt",2001,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0294906/ratings/?ref_=tt_ov_rt","11|4|9|5|6|3|4|0|4|12",NA
"686","Garage: Bad Dream Adventure","8.3","https://www.imdb.com/title/tt18233462/?ref_=adv_li_tt",1999,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt18233462/ratings/?ref_=tt_ov_rt","1|2|1|2|0|0|0|0|0|0","Tota Koizumi
| Sia Nakano
| Tomomi Sakuba
"
"687","Rusty Lake Hotel","7.6","https://www.imdb.com/title/tt14868770/?ref_=adv_li_tt",2015,"
Adventure, Comedy, Horror","https://www.imdb.com/title/tt14868770/ratings/?ref_=tt_ov_rt","4|5|6|7|2|1|1|0|1|0","Maarten Looise
| Robin Ras
"
"688","The Horror of Salazar House",NA,"https://www.imdb.com/title/tt15458102/?ref_=adv_li_tt",2020,"
Adventure, Horror","https://www.imdb.com/title/tt15458102/ratings/?ref_=tt_ov_rt",NA,"Ignacio Maldonato
"
"689","35MM","6.7","https://www.imdb.com/title/tt8968710/?ref_=adv_li_tt",2016,"
Adventure, Drama, Horror","https://www.imdb.com/title/tt8968710/ratings/?ref_=tt_ov_rt","2|1|6|4|6|2|0|1|0|5","Sergey Noskov
"
"690","Ring of Pain","7.3","https://www.imdb.com/title/tt16612086/?ref_=adv_li_tt",2020,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt16612086/ratings/?ref_=tt_ov_rt","3|0|4|1|1|0|1|0|0|1","Simon Boxer
"
"691","Killer Escape 2: The Surgery",NA,"https://www.imdb.com/title/tt5465154/?ref_=adv_li_tt",2013,"
Adventure, Horror","https://www.imdb.com/title/tt5465154/ratings/?ref_=tt_ov_rt",NA,"Psionic
"
"692","Rebuild","6.3","https://www.imdb.com/title/tt5649118/?ref_=adv_li_tt",2011,"
Adventure, Horror","https://www.imdb.com/title/tt5649118/ratings/?ref_=tt_ov_rt","1|0|0|2|1|1|0|1|0|1","Sarah Northway
"
"693","Painkiller: Battle Out of Hell","7.1","https://www.imdb.com/title/tt0438302/?ref_=adv_li_tt",2004,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0438302/ratings/?ref_=tt_ov_rt","26|14|44|51|15|11|5|1|2|5",NA
"694","Fear the Walking Dead: Dead Run","6.1","https://www.imdb.com/title/tt6255488/?ref_=adv_li_tt",2016,"
Action, Adventure, Horror","https://www.imdb.com/title/tt6255488/ratings/?ref_=tt_ov_rt","2|0|1|2|1|0|0|2|0|3",NA
"695","Butcher",NA,"https://www.imdb.com/title/tt16752754/?ref_=adv_li_tt",2016,"
Action, Adventure, Horror","https://www.imdb.com/title/tt16752754/ratings/?ref_=tt_ov_rt",NA,NA
"696","Hyper Metroid",NA,"https://www.imdb.com/title/tt13080236/?ref_=adv_li_tt",2015,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt13080236/ratings/?ref_=tt_ov_rt",NA,"Trevor Sitkoff
"
"697","Castlevania: Simon's Destiny",NA,"https://www.imdb.com/title/tt21030374/?ref_=adv_li_tt",2017,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt21030374/ratings/?ref_=tt_ov_rt",NA,"Andrea Gori
"
"698","BloodRayne 2: ReVamped",NA,"https://www.imdb.com/title/tt15440192/?ref_=adv_li_tt",2021,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt15440192/ratings/?ref_=tt_ov_rt",NA,NA
"699","Blood & Lace: A Gothic Novel",NA,"https://www.imdb.com/title/tt6374696/?ref_=adv_li_tt",2001,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt6374696/ratings/?ref_=tt_ov_rt",NA,NA
"700","Doom II RPG","7.2","https://www.imdb.com/title/tt6238536/?ref_=adv_li_tt",2009,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt6238536/ratings/?ref_=tt_ov_rt","75|9|12|11|4|4|4|2|0|6","Katherine Anna Kang
"
"701","Afterfall: InSanity","5.4","https://www.imdb.com/title/tt2504704/?ref_=adv_li_tt",2011,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2504704/ratings/?ref_=tt_ov_rt","2|0|6|3|13|10|6|3|2|4","Tomasz Majka
"
"702","Evil Nun 2: Scary Stories and Horror Puzzle Games",NA,"https://www.imdb.com/title/tt13912634/?ref_=adv_li_tt",2020,"
Animation, Action, Adventure","https://www.imdb.com/title/tt13912634/ratings/?ref_=tt_ov_rt",NA,NA
"703","Evie",NA,"https://www.imdb.com/title/tt14636854/?ref_=adv_li_tt",2018,"
Adventure, Horror","https://www.imdb.com/title/tt14636854/ratings/?ref_=tt_ov_rt",NA,NA
"704","The Quivering",NA,"https://www.imdb.com/title/tt13634938/?ref_=adv_li_tt",1998,"
Adventure, Comedy, Horror","https://www.imdb.com/title/tt13634938/ratings/?ref_=tt_ov_rt",NA,NA
"705","Don't Escape","3","https://www.imdb.com/title/tt5460222/?ref_=adv_li_tt",2013,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt5460222/ratings/?ref_=tt_ov_rt","364|0|6|4|0|5|0|0|1|74","Scriptwelder
"
"706","Dead of the Brain: Shiryou no Sakebi",NA,"https://www.imdb.com/title/tt12970144/?ref_=adv_li_tt",1992,"
Adventure, Horror","https://www.imdb.com/title/tt12970144/ratings/?ref_=tt_ov_rt",NA,NA
"707","Don't Escape 3","7.9","https://www.imdb.com/title/tt5460238/?ref_=adv_li_tt",2015,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt5460238/ratings/?ref_=tt_ov_rt","2|4|2|2|0|0|0|1|0|0","Scriptwelder
"
"708","Pocket Mirror","7.9","https://www.imdb.com/title/tt13332952/?ref_=adv_li_tt",2016,"
Adventure, Drama, Fantasy","https://www.imdb.com/title/tt13332952/ratings/?ref_=tt_ov_rt","6|0|2|0|1|0|1|0|0|2",NA
"709","Hellforces","6.7","https://www.imdb.com/title/tt0445420/?ref_=adv_li_tt",2005,"
Action, Adventure, Horror","https://www.imdb.com/title/tt0445420/ratings/?ref_=tt_ov_rt","2|2|8|6|3|4|0|1|0|4",NA
"710","Akumajô Dorakyura","6.3","https://www.imdb.com/title/tt1981633/?ref_=adv_li_tt",1988,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1981633/ratings/?ref_=tt_ov_rt","6|2|4|10|8|4|9|3|0|1",NA
"711","Welcome Back Daddy",NA,"https://www.imdb.com/title/tt14636858/?ref_=adv_li_tt",2018,"
Adventure, Horror","https://www.imdb.com/title/tt14636858/ratings/?ref_=tt_ov_rt",NA,NA
"712","Corpse Party",NA,"https://www.imdb.com/title/tt16610256/?ref_=adv_li_tt",1996,"
Adventure, Horror","https://www.imdb.com/title/tt16610256/ratings/?ref_=tt_ov_rt",NA,NA
"713","Last Half of Darkness: Society of the Serpent Moon",NA,"https://www.imdb.com/title/tt3300592/?ref_=adv_li_tt",2012,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt3300592/ratings/?ref_=tt_ov_rt",NA,"William R. Fisher III
"
"714","Cryptic Passage",NA,"https://www.imdb.com/title/tt15345522/?ref_=adv_li_tt",1997,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt15345522/ratings/?ref_=tt_ov_rt",NA,"Robert Travis
"
"715","Akumajô Dracula Daku naito pureryudo","6.8","https://www.imdb.com/title/tt0417522/?ref_=adv_li_tt",1997,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0417522/ratings/?ref_=tt_ov_rt","10|3|10|14|10|8|2|5|1|2","Kouki Yamashita
"
"716","Castlevania the Adventure: Rebirth","7.9","https://www.imdb.com/title/tt5653814/?ref_=adv_li_tt",2009,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt5653814/ratings/?ref_=tt_ov_rt","1|3|2|2|2|1|0|0|0|0","Toshiyasu Kamiko
| Akihiro Minakata
"
"717","Onryou",NA,"https://www.imdb.com/title/tt14636878/?ref_=adv_li_tt",2020,"
Adventure, Horror","https://www.imdb.com/title/tt14636878/ratings/?ref_=tt_ov_rt",NA,NA
"718","Hell's House",NA,"https://www.imdb.com/title/tt5499852/?ref_=adv_li_tt",2011,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt5499852/ratings/?ref_=tt_ov_rt",NA,"Claudio Battiato
"
"719","The Rake: Red Forest",NA,"https://www.imdb.com/title/tt10636306/?ref_=adv_li_tt",2016,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt10636306/ratings/?ref_=tt_ov_rt",NA,"Brandon David Santos
"
"720","The Trap Door","6.6","https://www.imdb.com/title/tt0480030/?ref_=adv_li_tt",1986,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt0480030/ratings/?ref_=tt_ov_rt","2|0|2|4|1|1|2|2|0|1",NA
"721","Hysteria Project 2",NA,"https://www.imdb.com/title/tt1830641/?ref_=adv_li_tt",2011,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt1830641/ratings/?ref_=tt_ov_rt",NA,"Guillaume Lebrasseur
"
"722","Atomicrops",NA,"https://www.imdb.com/title/tt14833488/?ref_=adv_li_tt",2019,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt14833488/ratings/?ref_=tt_ov_rt",NA,NA
"723","Viy: The Story Retold","7.5","https://www.imdb.com/title/tt5485430/?ref_=adv_li_tt",2004,"
Adventure, Horror","https://www.imdb.com/title/tt5485430/ratings/?ref_=tt_ov_rt","0|5|4|4|5|0|0|0|0|3",NA
"724","D's Diner: Director's Cut",NA,"https://www.imdb.com/title/tt21854448/?ref_=adv_li_tt",1996,"
Adventure, Horror","https://www.imdb.com/title/tt21854448/ratings/?ref_=tt_ov_rt",NA,NA
"725","Devilman","7.8","https://www.imdb.com/title/tt8700228/?ref_=adv_li_tt",2000,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt8700228/ratings/?ref_=tt_ov_rt","2|0|0|2|2|0|0|0|0|0",NA
"726","nightOUT",NA,"https://www.imdb.com/title/tt13511888/?ref_=adv_li_tt",2021,"
Adventure, Horror","https://www.imdb.com/title/tt13511888/ratings/?ref_=tt_ov_rt",NA,"Justin Ryan Bradley
"
"727","Dead of the Brain 2",NA,"https://www.imdb.com/title/tt12970152/?ref_=adv_li_tt",1993,"
Adventure, Horror","https://www.imdb.com/title/tt12970152/ratings/?ref_=tt_ov_rt",NA,"Izumi Nishiwaki
"
"728","Killer Escape",NA,"https://www.imdb.com/title/tt5465150/?ref_=adv_li_tt",2013,"
Adventure, Horror","https://www.imdb.com/title/tt5465150/ratings/?ref_=tt_ov_rt",NA,"Psionic
"
"729","Luigi's Mansion","8.1","https://www.imdb.com/title/tt8598482/?ref_=adv_li_tt",2018,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt8598482/ratings/?ref_=tt_ov_rt","93|49|69|24|15|2|0|1|4|7","Katsumi Kuga
"
"730","The Starship Damrey",NA,"https://www.imdb.com/title/tt12379332/?ref_=adv_li_tt",2013,"
Adventure, Horror","https://www.imdb.com/title/tt12379332/ratings/?ref_=tt_ov_rt",NA,"Kazuya Asano
"
"731","The Final Station: The Only Traitor","8.4","https://www.imdb.com/title/tt18114942/?ref_=adv_li_tt",2017,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt18114942/ratings/?ref_=tt_ov_rt","1|1|2|1|0|0|0|0|0|1",NA
"732","The Witch's House MV",NA,"https://www.imdb.com/title/tt19844790/?ref_=adv_li_tt",2018,"
Adventure, Horror, Thriller","https://www.imdb.com/title/tt19844790/ratings/?ref_=tt_ov_rt",NA,"Fummy
"
"733","Angels of Death","6.8","https://www.imdb.com/title/tt12724044/?ref_=adv_li_tt",2016,"
Adventure, Horror","https://www.imdb.com/title/tt12724044/ratings/?ref_=tt_ov_rt","4|0|2|5|4|0|1|1|0|1","Makoto Sanada
"
"734","PsiloSybil",NA,"https://www.imdb.com/title/tt21995738/?ref_=adv_li_tt",2021,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt21995738/ratings/?ref_=tt_ov_rt",NA,NA
"735","Lost Ruins",NA,"https://www.imdb.com/title/tt17275480/?ref_=adv_li_tt",2021,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt17275480/ratings/?ref_=tt_ov_rt",NA,NA
"736","Super Tanooki Skin 2D",NA,"https://www.imdb.com/title/tt6863906/?ref_=adv_li_tt",2011,"
Action, Adventure, Horror","https://www.imdb.com/title/tt6863906/ratings/?ref_=tt_ov_rt",NA,NA
"737","Universal Classics Pinball",NA,"https://www.imdb.com/title/tt10837342/?ref_=adv_li_tt",2017,"
Adventure, Comedy, Horror","https://www.imdb.com/title/tt10837342/ratings/?ref_=tt_ov_rt",NA,NA
"738","Nosferatu",NA,"https://www.imdb.com/title/tt12484260/?ref_=adv_li_tt",1994,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt12484260/ratings/?ref_=tt_ov_rt",NA,"T. Nakamura
"
"739","Dylan Dog: Gli uccisori",NA,"https://www.imdb.com/title/tt7995574/?ref_=adv_li_tt",1992,"
Action, Adventure, Horror","https://www.imdb.com/title/tt7995574/ratings/?ref_=tt_ov_rt",NA,"Ivan Venturi
"
"740","SEUM: Speedrunners from Hell","7.6","https://www.imdb.com/title/tt14583232/?ref_=adv_li_tt",2016,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt14583232/ratings/?ref_=tt_ov_rt","3|0|2|2|1|2|0|0|0|0","Tomislav Podhraski
"
"741","Psycho",NA,"https://www.imdb.com/title/tt8063646/?ref_=adv_li_tt",1988,"
Adventure, Horror","https://www.imdb.com/title/tt8063646/ratings/?ref_=tt_ov_rt",NA,"Craig Morehouse
"
"742","Devilman",NA,"https://www.imdb.com/title/tt8700272/?ref_=adv_li_tt",1989,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt8700272/ratings/?ref_=tt_ov_rt",NA,NA
"743","GARAGE: Bad Trip",NA,"https://www.imdb.com/title/tt18211826/?ref_=adv_li_tt",2018,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt18211826/ratings/?ref_=tt_ov_rt",NA,"Dangerous Mike
"
"744","Pumpkin Jack","7.8","https://www.imdb.com/title/tt13657086/?ref_=adv_li_tt",2020,"
Action, Adventure, Horror","https://www.imdb.com/title/tt13657086/ratings/?ref_=tt_ov_rt","6|2|10|9|4|0|0|0|0|0","Nicolas Meyssonneir
"
"745","Nightbreed: The Action Game",NA,"https://www.imdb.com/title/tt6224998/?ref_=adv_li_tt",1990,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt6224998/ratings/?ref_=tt_ov_rt",NA,NA
