"","nome_jogo","nota_jogo","link_jogo","ano_jogo","genero_jogo","link_avaliacao","avaliacao_jogo","diretor_jogo"
"1","Death Stranding","8.8","https://www.imdb.com/title/tt5807606/?ref_=adv_li_tt",2019,"
Action, Adventure, Drama","https://www.imdb.com/title/tt5807606/ratings/?ref_=tt_ov_rt","4,175|2,188|1,083|491|246|152|102|76|56|245","Hideo Kojima
"
"2","The Last of Us","9.7","https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt",2013,"
Action, Adventure, Drama","https://www.imdb.com/title/tt2140553/ratings/?ref_=tt_ov_rt","49,899|8,073|2,709|893|561|199|98|111|103|763","Neil Druckmann
| Bruce Straley
"
"3","The Last of Us: Part II","8.6","https://www.imdb.com/title/tt6298000/?ref_=adv_li_tt",2020,"
Action, Adventure, Drama","https://www.imdb.com/title/tt6298000/ratings/?ref_=tt_ov_rt","15,628|5,615|2,912|1,379|931|679|516|454|503|3,765","Neil Druckmann
| Kurt Margenau
| Anthony Newman
"
"4","Batman: Arkham Knight","9","https://www.imdb.com/title/tt3554580/?ref_=adv_li_tt",2015,"
Action, Adventure, Crime","https://www.imdb.com/title/tt3554580/ratings/?ref_=tt_ov_rt","8,885|5,674|3,207|1,262|450|203|82|53|29|209","Sefton Hill
"
"5","The Last of Us: Part I","9.8","https://www.imdb.com/title/tt20918700/?ref_=adv_li_tt",2022,"
Action, Adventure, Drama","https://www.imdb.com/title/tt20918700/ratings/?ref_=tt_ov_rt","1,259|137|55|22|11|8|3|3|7|107","Matthew Gallant
| Bruce Straley
"
"6","Days Gone","8.3","https://www.imdb.com/title/tt6795336/?ref_=adv_li_tt",2019,"
Action, Adventure, Drama","https://www.imdb.com/title/tt6795336/ratings/?ref_=tt_ov_rt","2,008|1,657|1,509|658|303|146|83|35|24|74","John Garvin
| Jeff Ross
"
"7","Resident Evil Village","8.7","https://www.imdb.com/title/tt12497042/?ref_=adv_li_tt",2021,"
Action, Adventure, Drama","https://www.imdb.com/title/tt12497042/ratings/?ref_=tt_ov_rt","1,861|1,572|1,123|406|128|59|23|20|14|57","Morimasa Sato
| America Young
"
"8","A Plague Tale: Requiem","8.6","https://www.imdb.com/title/tt19364930/?ref_=adv_li_tt",2022,"
Action, Adventure, Drama","https://www.imdb.com/title/tt19364930/ratings/?ref_=tt_ov_rt","323|255|144|54|28|11|4|3|3|12","Kevin Choteau
"
"9","The Dark Pictures: House of Ashes","7.7","https://www.imdb.com/title/tt13368198/?ref_=adv_li_tt",2021,"
Action, Adventure, Horror","https://www.imdb.com/title/tt13368198/ratings/?ref_=tt_ov_rt","249|226|358|225|105|37|27|14|13|21","Aletta Collins
| Will Doyle
"
"10","Resident Evil 4",NA,"https://www.imdb.com/title/tt21047286/?ref_=adv_li_tt",2023,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt21047286/ratings/?ref_=tt_ov_rt",NA,"Yasuhiro Anpo
"
"11","Dying Light 2: Stay Human","7.8","https://www.imdb.com/title/tt8545514/?ref_=adv_li_tt",2022,"
Action, Adventure, Horror","https://www.imdb.com/title/tt8545514/ratings/?ref_=tt_ov_rt","326|202|284|167|104|42|22|19|10|39","Marc Albinet
| Adrian Ciszewski
| Thomas Mitchells
"
"12","Mortal Kombat 11","7.9","https://www.imdb.com/title/tt9398566/?ref_=adv_li_tt",2019,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt9398566/ratings/?ref_=tt_ov_rt","855|577|840|391|168|85|86|181|189|292","Ed Boon
| Martin Stoltz
"
"13","Biohazard 4","9.2","https://www.imdb.com/title/tt0397042/?ref_=adv_li_tt",2005,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0397042/ratings/?ref_=tt_ov_rt","7,629|3,023|1,443|512|182|140|65|52|34|466","Kuniomi Matsushita
| Shinji Mikami
"
"14","Uncharted 2: Among Thieves","9.4","https://www.imdb.com/title/tt1349460/?ref_=adv_li_tt",2009,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1349460/ratings/?ref_=tt_ov_rt","14,549|6,650|2,859|896|249|101|54|23|29|327","Amy Hennig
| Bruce Straley
"
"15","The Witcher 3: Wild Hunt - Blood and Wine","9.8","https://www.imdb.com/title/tt5667286/?ref_=adv_li_tt",2016,"
Action, Adventure, Drama","https://www.imdb.com/title/tt5667286/ratings/?ref_=tt_ov_rt","6,374|998|313|91|48|28|13|8|22|381","Konrad Tomaszkiewicz
"
"16","Uncharted: Drake's Fortune","8.5","https://www.imdb.com/title/tt1000777/?ref_=adv_li_tt",2007,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1000777/ratings/?ref_=tt_ov_rt","5,517|5,474|5,536|2,879|835|300|98|47|31|187","Amy Hennig
"
"17","The Dark Pictures Anthology: Man of Medan","6.7","https://www.imdb.com/title/tt8876446/?ref_=adv_li_tt",2019,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt8876446/ratings/?ref_=tt_ov_rt","241|170|459|806|514|248|121|70|53|62","Tom Heaton
"
"18","A Plague Tale: Innocence","8.3","https://www.imdb.com/title/tt7028648/?ref_=adv_li_tt",2019,"
Adventure, Drama, History","https://www.imdb.com/title/tt7028648/ratings/?ref_=tt_ov_rt","848|995|1,031|502|157|57|34|16|11|32","Kevin Choteau
| David Dedeine
"
"19","BioShock","9.1","https://www.imdb.com/title/tt1094581/?ref_=adv_li_tt",2007,"
Action, Adventure, Horror","https://www.imdb.com/title/tt1094581/ratings/?ref_=tt_ov_rt","10,252|5,269|2,703|1,038|381|176|65|55|30|234","Ken Levine
"
"20","Call of Duty: Black Ops II","8","https://www.imdb.com/title/tt2387409/?ref_=adv_li_tt",2012,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2387409/ratings/?ref_=tt_ov_rt","3,961|2,717|3,589|1,931|900|388|175|100|86|471","Dave Anthony
"
"21","Bloodborne","9.3","https://www.imdb.com/title/tt3814634/?ref_=adv_li_tt",2015,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt3814634/ratings/?ref_=tt_ov_rt","3,626|1,235|467|191|102|61|34|25|25|112","Hidetaka Miyazaki
"
"22","Spider-Man 2",NA,"https://www.imdb.com/title/tt15399898/?ref_=adv_li_tt",2023,"
Action, Adventure, Crime","https://www.imdb.com/title/tt15399898/ratings/?ref_=tt_ov_rt",NA,"Bryan Intihar
| Ryan Smith
"
"23","Dying Light","8.2","https://www.imdb.com/title/tt3706490/?ref_=adv_li_tt",2015,"
Action, Adventure, Horror","https://www.imdb.com/title/tt3706490/ratings/?ref_=tt_ov_rt","1,088|1,010|1,200|586|239|102|37|17|17|78","Adrian Ciszewski
| Marcin Nowak
"
"24","Control","8.1","https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt",2019,"
Action, Adventure, Horror","https://www.imdb.com/title/tt8585800/ratings/?ref_=tt_ov_rt","823|1,018|1,088|559|215|110|61|34|31|59","Mikael Kasurinen
| Sam Lake
"
"25","Uncharted 3: Drake's Deception","9","https://www.imdb.com/title/tt1800763/?ref_=adv_li_tt",2011,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1800763/ratings/?ref_=tt_ov_rt","9,281|7,076|3,986|1,337|378|159|63|23|22|238","Amy Hennig
| Justin Richmond
"
"26","BioShock Infinite","9.1","https://www.imdb.com/title/tt1712064/?ref_=adv_li_tt",2013,"
Action, Adventure, Drama","https://www.imdb.com/title/tt1712064/ratings/?ref_=tt_ov_rt","10,623|4,950|2,619|1,160|442|240|97|62|59|289","Ken Levine
"
"27","Doom Eternal","8.6","https://www.imdb.com/title/tt8550890/?ref_=adv_li_tt",2020,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt8550890/ratings/?ref_=tt_ov_rt","1,201|951|539|218|88|52|16|18|10|42","Hugo Martin
"
"28","Metro: Last Light","8.2","https://www.imdb.com/title/tt2134101/?ref_=adv_li_tt",2013,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2134101/ratings/?ref_=tt_ov_rt","922|1,030|1,320|546|188|70|36|20|11|41","Andrew Prokhorov
"
"29","Harry Potter: Hogwarts Mystery","5.9","https://www.imdb.com/title/tt8242058/?ref_=adv_li_tt",2018,"
Action, Adventure, Family","https://www.imdb.com/title/tt8242058/ratings/?ref_=tt_ov_rt","73|27|30|32|50|40|23|12|11|45","Chris DeWolfe
"
"30","Uncharted: The Nathan Drake Collection","9.4","https://www.imdb.com/title/tt5766946/?ref_=adv_li_tt",2015,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt5766946/ratings/?ref_=tt_ov_rt","2,937|1,642|685|192|35|16|15|13|11|78","Amy Hennig
"
"31","Devil May Cry 5","8.5","https://www.imdb.com/title/tt8651604/?ref_=adv_li_tt",2019,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt8651604/ratings/?ref_=tt_ov_rt","798|572|425|181|82|24|16|10|11|30","Hideaki Itsuno
"
"32","Metro Exodus","8.2","https://www.imdb.com/title/tt7447318/?ref_=adv_li_tt",2019,"
Action, Adventure, Horror","https://www.imdb.com/title/tt7447318/ratings/?ref_=tt_ov_rt","607|621|645|297|134|57|33|34|14|36","Andrew Prokhorov
"
"33","Lollipop Chainsaw","7.6","https://www.imdb.com/title/tt2188807/?ref_=adv_li_tt",2012,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt2188807/ratings/?ref_=tt_ov_rt","203|115|221|184|90|37|23|11|9|54","Tomo Ikeda
| Suda 51
"
"34","Half-Life: Alyx","9.5","https://www.imdb.com/title/tt11321196/?ref_=adv_li_tt",2020,"
Action, Adventure, Horror","https://www.imdb.com/title/tt11321196/ratings/?ref_=tt_ov_rt","511|138|52|18|6|8|7|8|15|31",NA
"35","Dark Souls III","9.1","https://www.imdb.com/title/tt4795016/?ref_=adv_li_tt",2016,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt4795016/ratings/?ref_=tt_ov_rt","2,255|1,408|637|172|69|43|20|16|12|90","Hidetaka Miyazaki
| Isamu Okano
| Yui Tanimura
"
"36","Dark Souls","9.1","https://www.imdb.com/title/tt2015348/?ref_=adv_li_tt",2011,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt2015348/ratings/?ref_=tt_ov_rt","2,622|1,301|574|226|111|59|31|32|25|105","Hidetaka Miyazaki
"
"37","Spider-Man 3","6.4","https://www.imdb.com/title/tt0837564/?ref_=adv_li_tt",2007,"
Action, Adventure, Crime","https://www.imdb.com/title/tt0837564/ratings/?ref_=tt_ov_rt","602|188|394|747|664|328|185|117|67|160",NA
"38","Hellblade: Senua's Sacrifice","8.7","https://www.imdb.com/title/tt4674622/?ref_=adv_li_tt",2017,"
Action, Adventure, Drama","https://www.imdb.com/title/tt4674622/ratings/?ref_=tt_ov_rt","1,321|1,249|703|302|123|69|40|23|18|86","Tameem Antoniades
"
"39","The Nightmare Before Christmas: Oogie's Revenge","7.2","https://www.imdb.com/title/tt0475344/?ref_=adv_li_tt",2004,"
Action, Adventure, Horror","https://www.imdb.com/title/tt0475344/ratings/?ref_=tt_ov_rt","71|23|28|31|14|8|2|5|0|16",NA
"40","Baiohazâdo 6","6.7","https://www.imdb.com/title/tt2193031/?ref_=adv_li_tt",2012,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt2193031/ratings/?ref_=tt_ov_rt","783|358|743|1,059|776|439|281|163|89|190","Eiichiro Sasaki
| Masanori Kobayashi
| Ken Ohara
"
"41","Death Stranding Director's Cut","9.1","https://www.imdb.com/title/tt15484726/?ref_=adv_li_tt",2021,"
Action, Adventure, Drama","https://www.imdb.com/title/tt15484726/ratings/?ref_=tt_ov_rt","226|90|44|24|6|3|1|2|3|16","Hideo Kojima
"
"42","The Last of Us: Left Behind","8.9","https://www.imdb.com/title/tt3468818/?ref_=adv_li_tt",2014,"
Action, Adventure, Drama","https://www.imdb.com/title/tt3468818/ratings/?ref_=tt_ov_rt","4,009|3,267|1,774|618|192|88|30|22|22|182","Bruce Straley
"
"43","Diablo III","7.9","https://www.imdb.com/title/tt2186735/?ref_=adv_li_tt",2012,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt2186735/ratings/?ref_=tt_ov_rt","717|617|989|585|260|135|53|41|35|123","Nicholas S. Carpenter
"
"44","Dead by Daylight","7.3","https://www.imdb.com/title/tt7079558/?ref_=adv_li_tt",2016,"
Adventure, Horror, Thriller","https://www.imdb.com/title/tt7079558/ratings/?ref_=tt_ov_rt","281|142|294|303|141|75|41|35|14|49","Ashley Pannell
| Dave Richard
"
"45","Bendy and the Ink Machine","7.2","https://www.imdb.com/title/tt6744302/?ref_=adv_li_tt",2017,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt6744302/ratings/?ref_=tt_ov_rt","156|68|95|106|53|23|15|8|10|21","TheMeatly
"
"46","Predator: Hunting Grounds","6.1","https://www.imdb.com/title/tt10437042/?ref_=adv_li_tt",2020,"
Action, Adventure, Horror","https://www.imdb.com/title/tt10437042/ratings/?ref_=tt_ov_rt","72|17|43|41|52|18|16|16|17|19",NA
"47","Biohazard 5","7.8","https://www.imdb.com/title/tt0473298/?ref_=adv_li_tt",2009,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0473298/ratings/?ref_=tt_ov_rt","1,735|1,369|2,280|1,591|796|379|154|89|62|175","Yasuhiro Anpo
| Kenichi Ueda
"
"48","Prey","8.1","https://www.imdb.com/title/tt6528212/?ref_=adv_li_tt",2017,"
Action, Adventure, Horror","https://www.imdb.com/title/tt6528212/ratings/?ref_=tt_ov_rt","382|491|528|231|106|69|23|20|15|37","Raphael Colantonio
"
"49","PsychoBreak","7.8","https://www.imdb.com/title/tt2960790/?ref_=adv_li_tt",2014,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2960790/ratings/?ref_=tt_ov_rt","703|642|1,101|615|255|128|67|44|22|80","Shinji Mikami
| Yun M. Watanabe
"
"50","Mortal Kombat X","8.2","https://www.imdb.com/title/tt3772796/?ref_=adv_li_tt",2015,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt3772796/ratings/?ref_=tt_ov_rt","1,100|936|1,091|558|209|79|41|19|18|70","Dominic Cianciolo
"
"51","Omori","9.2","https://www.imdb.com/title/tt14106780/?ref_=adv_li_tt",2020,"
Adventure, Drama, Fantasy","https://www.imdb.com/title/tt14106780/ratings/?ref_=tt_ov_rt","309|70|24|24|4|2|4|3|5|28","Omocat
"
"52","Resident Evil Village: Shadows of Rose","7.6","https://www.imdb.com/title/tt23114588/?ref_=adv_li_tt",2022,"
Action, Adventure, Horror","https://www.imdb.com/title/tt23114588/ratings/?ref_=tt_ov_rt","25|18|36|37|9|4|2|1|1|4",NA
"53","Alan Wake","8.5","https://www.imdb.com/title/tt0466662/?ref_=adv_li_tt",2010,"
Action, Adventure, Horror","https://www.imdb.com/title/tt0466662/ratings/?ref_=tt_ov_rt","1,758|1,674|1,324|669|275|117|44|39|17|122","Petri Järvilehto
"
"54","Returnal","8.2","https://www.imdb.com/title/tt12496966/?ref_=adv_li_tt",2021,"
Action, Adventure, Horror","https://www.imdb.com/title/tt12496966/ratings/?ref_=tt_ov_rt","179|161|124|45|32|11|9|7|8|34","Harry Krueger
"
"55","Harry Potter e a Ordem da Fênix","7.4","https://www.imdb.com/title/tt0944836/?ref_=adv_li_tt",2007,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0944836/ratings/?ref_=tt_ov_rt","597|248|437|427|190|102|56|34|21|117","Matt Birch
"
"56","The Witcher 3: Wild Hunt - Hearts of Stone","9.5","https://www.imdb.com/title/tt5547960/?ref_=adv_li_tt",2015,"
Action, Adventure, Drama","https://www.imdb.com/title/tt5547960/ratings/?ref_=tt_ov_rt","4,600|1,287|518|144|46|20|12|8|20|237","Konrad Tomaszkiewicz
"
"57","Poppy Playtime","6.7","https://www.imdb.com/title/tt15764858/?ref_=adv_li_tt",2021,"
Action, Adventure, Horror","https://www.imdb.com/title/tt15764858/ratings/?ref_=tt_ov_rt","320|39|50|56|27|15|12|10|5|31","Isaac Christopherson
"
"58","Spider-Man: Web of Shadows","7.8","https://www.imdb.com/title/tt1249419/?ref_=adv_li_tt",2008,"
Action, Adventure, Crime","https://www.imdb.com/title/tt1249419/ratings/?ref_=tt_ov_rt","359|180|379|221|104|30|21|12|6|60","Keith Arem
"
"59","Choo-Choo Charles","8.7","https://www.imdb.com/title/tt23464530/?ref_=adv_li_tt",2022,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt23464530/ratings/?ref_=tt_ov_rt","21|5|6|7|2|1|0|0|0|1","Gavin Eisenbeisz
"
"60","Demon's Souls","8.7","https://www.imdb.com/title/tt12507852/?ref_=adv_li_tt",2020,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt12507852/ratings/?ref_=tt_ov_rt","326|304|236|82|23|10|5|3|9|29","Hidetaka Miyazaki
| Gavin Moore
"
"61","The Chant","6.4","https://www.imdb.com/title/tt21920470/?ref_=adv_li_tt",2022,"
Action, Adventure, Horror","https://www.imdb.com/title/tt21920470/ratings/?ref_=tt_ov_rt","8|4|5|4|7|2|1|2|0|3","Mike Skupa
"
"62","Dark Souls II","8","https://www.imdb.com/title/tt2794338/?ref_=adv_li_tt",2014,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt2794338/ratings/?ref_=tt_ov_rt","706|725|823|508|225|97|48|24|27|106","Yui Tanimura
"
"63","GhostWire: Tokyo","7.1","https://www.imdb.com/title/tt10478562/?ref_=adv_li_tt",2022,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt10478562/ratings/?ref_=tt_ov_rt","36|19|53|65|36|11|3|5|3|8","Kenji Kimura
"
"64","BioShock 2","8.3","https://www.imdb.com/title/tt1506437/?ref_=adv_li_tt",2010,"
Action, Adventure, Horror","https://www.imdb.com/title/tt1506437/ratings/?ref_=tt_ov_rt","1,948|2,464|3,110|1,406|463|152|79|28|24|88","Jordan Thomas
| Michael Csurics
"
"65","Night Trap","6.3","https://www.imdb.com/title/tt0105000/?ref_=adv_li_tt",1992,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt0105000/ratings/?ref_=tt_ov_rt","77|27|46|58|49|34|23|12|15|25","James W. Riley
| Randy Field
"
"66","Outlast 2","7.5","https://www.imdb.com/title/tt4733294/?ref_=adv_li_tt",2017,"
Action, Adventure, Horror","https://www.imdb.com/title/tt4733294/ratings/?ref_=tt_ov_rt","457|302|588|491|244|110|67|37|27|59",NA
"67","Catherine: Full Body","8.4","https://www.imdb.com/title/tt9867686/?ref_=adv_li_tt",2019,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt9867686/ratings/?ref_=tt_ov_rt","71|74|78|34|11|8|6|1|4|8","Katsura Hashino
"
"68","Metro 2033","8","https://www.imdb.com/title/tt1675746/?ref_=adv_li_tt",2010,"
Action, Adventure, Horror","https://www.imdb.com/title/tt1675746/ratings/?ref_=tt_ov_rt","834|908|1,429|695|224|112|52|24|16|52","Keith Arem
| Andrew Prokhorov
"
"69","Mortal Kombat","8.4","https://www.imdb.com/title/tt1386939/?ref_=adv_li_tt",2011,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1386939/ratings/?ref_=tt_ov_rt","1,113|1,053|962|490|151|54|30|13|12|93","Dominic Cianciolo
"
"70","Little Nightmares","8.2","https://www.imdb.com/title/tt6795176/?ref_=adv_li_tt",2017,"
Adventure, Horror","https://www.imdb.com/title/tt6795176/ratings/?ref_=tt_ov_rt","602|709|954|442|114|50|18|14|11|37",NA
"71","Back 4 Blood","6.1","https://www.imdb.com/title/tt10324528/?ref_=adv_li_tt",2021,"
Action, Adventure, Horror","https://www.imdb.com/title/tt10324528/ratings/?ref_=tt_ov_rt","44|30|54|82|98|59|34|16|9|26",NA
"72","The Evil Within 2","8.3","https://www.imdb.com/title/tt7025912/?ref_=adv_li_tt",2017,"
Action, Adventure, Drama","https://www.imdb.com/title/tt7025912/ratings/?ref_=tt_ov_rt","623|568|650|270|84|41|22|17|17|42","John Johanas
| Yun M. Watanabe
"
"73","Dead Space 3","7.6","https://www.imdb.com/title/tt2189256/?ref_=adv_li_tt",2013,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2189256/ratings/?ref_=tt_ov_rt","669|540|1,051|822|396|176|88|51|28|72","Steve Papoutsis
| Nick Laviers
| Ben Wanat
"
"74","Inside","8.8","https://www.imdb.com/title/tt3980364/?ref_=adv_li_tt",2016,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt3980364/ratings/?ref_=tt_ov_rt","1,127|1,283|870|335|119|51|23|11|5|28","Arnt Jensen
"
"75","Diablo III: Reaper of Souls","8.2","https://www.imdb.com/title/tt3561828/?ref_=adv_li_tt",2014,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt3561828/ratings/?ref_=tt_ov_rt","357|399|532|208|102|29|13|11|9|47","Marc Messenger
"
"76","Subnautica","8.4","https://www.imdb.com/title/tt7728604/?ref_=adv_li_tt",2018,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt7728604/ratings/?ref_=tt_ov_rt","387|359|295|156|77|29|12|6|3|18","Charlie Cleveland
"
"77","Return to Castle Wolfenstein","8.3","https://www.imdb.com/title/tt0289421/?ref_=adv_li_tt",2001,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0289421/ratings/?ref_=tt_ov_rt","764|550|668|315|122|46|17|16|10|45","Drew Markham
| Brandon James
"
"78","DmC: Devil May Cry","7.7","https://www.imdb.com/title/tt2328902/?ref_=adv_li_tt",2013,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt2328902/ratings/?ref_=tt_ov_rt","602|474|773|509|217|111|50|25|32|118","Tameem Antoniades
| Hideaki Itsuno
"
"79","The Mummy: Tomb of the Dragon Emperor","5.7","https://www.imdb.com/title/tt1270479/?ref_=adv_li_tt",2008,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1270479/ratings/?ref_=tt_ov_rt","63|16|31|61|104|82|46|31|18|28",NA
"80","Mortal Shell","6.3","https://www.imdb.com/title/tt12256246/?ref_=adv_li_tt",2020,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt12256246/ratings/?ref_=tt_ov_rt","23|9|39|34|26|20|7|4|4|18","Vitaly Bulgarov
| Anton Gonzales
| Andrew McLennan-Murray
| Dmitry Parkin
"
"81","Castlevania: Lords of Shadow","8.1","https://www.imdb.com/title/tt1454909/?ref_=adv_li_tt",2010,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1454909/ratings/?ref_=tt_ov_rt","382|359|396|166|81|41|18|10|8|38","Jesús Cobo
"
"82","Sally Face","8.4","https://www.imdb.com/title/tt11455726/?ref_=adv_li_tt",2016,"
Adventure, Drama, Horror","https://www.imdb.com/title/tt11455726/ratings/?ref_=tt_ov_rt","36|16|22|13|3|2|1|1|2|1","Steve Gabry
"
"83","Diablo Immortal","2.9","https://www.imdb.com/title/tt9297010/?ref_=adv_li_tt",2022,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt9297010/ratings/?ref_=tt_ov_rt","15|1|9|11|9|9|9|11|8|118",NA
"84","Devil May Cry","8.1","https://www.imdb.com/title/tt0268256/?ref_=adv_li_tt",2001,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0268256/ratings/?ref_=tt_ov_rt","728|550|709|417|133|59|22|19|13|54","Hideki Kamiya
"
"85","Martha is Dead","7.1","https://www.imdb.com/title/tt8147240/?ref_=adv_li_tt",2022,"
Adventure, Drama, Horror","https://www.imdb.com/title/tt8147240/ratings/?ref_=tt_ov_rt","64|14|28|32|15|7|3|3|1|6","Luca Dalcò
"
"86","Diablo IV",NA,"https://www.imdb.com/title/tt11261148/?ref_=adv_li_tt",2023,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt11261148/ratings/?ref_=tt_ov_rt",NA,"Luis Barriga
"
"87","Finding Bigfoot","7.2","https://www.imdb.com/title/tt7645362/?ref_=adv_li_tt",2017,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt7645362/ratings/?ref_=tt_ov_rt","19|0|2|3|7|6|3|2|1|3","Dmitry Zinchenko
| Stanislav Zinchenko
"
"88","Dead Island","7.2","https://www.imdb.com/title/tt1845786/?ref_=adv_li_tt",2011,"
Action, Adventure, Horror","https://www.imdb.com/title/tt1845786/ratings/?ref_=tt_ov_rt","647|473|907|1,042|575|300|124|74|50|129","Aljen Juchefskey
"
"89","Devil May Cry 3","8.5","https://www.imdb.com/title/tt0426437/?ref_=adv_li_tt",2005,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0426437/ratings/?ref_=tt_ov_rt","1,052|804|614|274|87|39|20|15|7|67","Hideaki Itsuno
"
"90","Vampyr","7.1","https://www.imdb.com/title/tt6076362/?ref_=adv_li_tt",2018,"
Action, Adventure, Crime","https://www.imdb.com/title/tt6076362/ratings/?ref_=tt_ov_rt","129|116|256|289|142|71|32|20|16|30","Philippe Moreau
"
"91","Dante's Inferno","7.7","https://www.imdb.com/title/tt1409575/?ref_=adv_li_tt",2010,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1409575/ratings/?ref_=tt_ov_rt","324|247|493|354|162|55|25|13|13|51","Jonathan Knight
"
"92","Little Nightmares II","8.7","https://www.imdb.com/title/tt12857290/?ref_=adv_li_tt",2021,"
Adventure, Horror","https://www.imdb.com/title/tt12857290/ratings/?ref_=tt_ov_rt","460|395|300|128|41|12|4|7|4|12","Viktor Lidäng
"
"93","Beruseruku mireniamu farukon hen wasurebana no sho","8","https://www.imdb.com/title/tt0253777/?ref_=adv_li_tt",1999,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0253777/ratings/?ref_=tt_ov_rt","78|23|30|17|11|2|4|2|0|11","Yoshio Togiya
"
"94","Alice: Madness Returns","8.2","https://www.imdb.com/title/tt1976517/?ref_=adv_li_tt",2011,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1976517/ratings/?ref_=tt_ov_rt","421|277|315|167|78|36|18|7|3|19","Benjamin Kerslake
| Paul Kurowski
"
"95","Sonic Unleashed","6.4","https://www.imdb.com/title/tt1236400/?ref_=adv_li_tt",2008,"
Action, Adventure, Family","https://www.imdb.com/title/tt1236400/ratings/?ref_=tt_ov_rt","286|96|154|235|172|106|52|35|32|138","Yoshihisa Hashimoto
"
"96","Metro: Last Light Redux","8.2","https://www.imdb.com/title/tt15452912/?ref_=adv_li_tt",2014,"
Action, Adventure, Horror","https://www.imdb.com/title/tt15452912/ratings/?ref_=tt_ov_rt","51|48|75|30|9|4|1|3|3|2","Andrew Prokhorov
"
"97","The Forest","7.5","https://www.imdb.com/title/tt9288404/?ref_=adv_li_tt",2018,"
Action, Adventure, Horror","https://www.imdb.com/title/tt9288404/ratings/?ref_=tt_ov_rt","74|77|157|142|58|17|8|6|5|3","Ben Falcone
"
"98","Harry Potter e as Relíquias da Morte - Parte 1","5.8","https://www.imdb.com/title/tt1571403/?ref_=adv_li_tt",2010,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1571403/ratings/?ref_=tt_ov_rt","123|42|67|104|149|63|43|30|27|55","Matt Birch
| Adele Cutting
| Andrew S. Walsh
"
"99","Wolfenstein","7.4","https://www.imdb.com/title/tt1219833/?ref_=adv_li_tt",2009,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1219833/ratings/?ref_=tt_ov_rt","254|169|442|435|166|63|18|17|8|25",NA
"100","Devil May Cry 4","8","https://www.imdb.com/title/tt0952651/?ref_=adv_li_tt",2008,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0952651/ratings/?ref_=tt_ov_rt","819|537|785|444|182|70|34|12|7|71","Hideaki Itsuno
"
